Horizon,Acteur,Sim,Scénario_idx,Rang_sim,Base_rang
H1,Industriels_Finance,0,1,1,1
H1,Industriels_Finance,0,2,2,2
H1,Industriels_Finance,0,3,3,3
H1,Collectivites,0,1,1,1
H1,Collectivites,0,2,2,2
H1,Collectivites,0,3,3,3
H1,ONG_Locales,0,1,1,1
H1,ONG_Locales,0,2,2,2
H1,ONG_Locales,0,3,3,3
H1,Autorites,0,1,1,1
H1,Autorites,0,2,2,2
H1,Autorites,0,3,3,3
H1,Scientifiques,0,1,1,1
H1,Scientifiques,0,2,2,2
H1,Scientifiques,0,3,3,3
H1,Industriels_Finance,1,1,2,1
H1,Industriels_Finance,1,2,1,2
H1,Industriels_Finance,1,3,3,3
H1,Collectivites,1,1,1,1
H1,Collectivites,1,2,2,2
H1,Collectivites,1,3,3,3
H1,ONG_Locales,1,1,1,1
H1,ONG_Locales,1,2,2,2
H1,ONG_Locales,1,3,3,3
H1,Autorites,1,1,1,1
H1,Autorites,1,2,2,2
H1,Autorites,1,3,3,3
H1,Scientifiques,1,1,1,1
H1,Scientifiques,1,2,2,2
H1,Scientifiques,1,3,3,3
H1,Industriels_Finance,2,1,1,1
H1,Industriels_Finance,2,2,2,2
H1,Industriels_Finance,2,3,3,3
H1,Collectivites,2,1,1,1
H1,Collectivites,2,2,2,2
H1,Collectivites,2,3,3,3
H1,ONG_Locales,2,1,1,1
H1,ONG_Locales,2,2,2,2
H1,ONG_Locales,2,3,3,3
H1,Autorites,2,1,1,1
H1,Autorites,2,2,2,2
H1,Autorites,2,3,3,3
H1,Scientifiques,2,1,1,1
H1,Scientifiques,2,2,2,2
H1,Scientifiques,2,3,3,3
H1,Industriels_Finance,3,1,1,1
H1,Industriels_Finance,3,2,2,2
H1,Industriels_Finance,3,3,3,3
H1,Collectivites,3,1,1,1
H1,Collectivites,3,2,2,2
H1,Collectivites,3,3,3,3
H1,ONG_Locales,3,1,1,1
H1,ONG_Locales,3,2,2,2
H1,ONG_Locales,3,3,3,3
H1,Autorites,3,1,1,1
H1,Autorites,3,2,2,2
H1,Autorites,3,3,3,3
H1,Scientifiques,3,1,1,1
H1,Scientifiques,3,2,2,2
H1,Scientifiques,3,3,3,3
H1,Industriels_Finance,4,1,1,1
H1,Industriels_Finance,4,2,2,2
H1,Industriels_Finance,4,3,3,3
H1,Collectivites,4,1,1,1
H1,Collectivites,4,2,2,2
H1,Collectivites,4,3,3,3
H1,ONG_Locales,4,1,1,1
H1,ONG_Locales,4,2,2,2
H1,ONG_Locales,4,3,3,3
H1,Autorites,4,1,1,1
H1,Autorites,4,2,2,2
H1,Autorites,4,3,3,3
H1,Scientifiques,4,1,1,1
H1,Scientifiques,4,2,2,2
H1,Scientifiques,4,3,3,3
H1,Industriels_Finance,5,1,1,1
H1,Industriels_Finance,5,2,2,2
H1,Industriels_Finance,5,3,3,3
H1,Collectivites,5,1,1,1
H1,Collectivites,5,2,2,2
H1,Collectivites,5,3,3,3
H1,ONG_Locales,5,1,1,1
H1,ONG_Locales,5,2,2,2
H1,ONG_Locales,5,3,3,3
H1,Autorites,5,1,1,1
H1,Autorites,5,2,2,2
H1,Autorites,5,3,3,3
H1,Scientifiques,5,1,1,1
H1,Scientifiques,5,2,2,2
H1,Scientifiques,5,3,3,3
H1,Industriels_Finance,6,1,1,1
H1,Industriels_Finance,6,2,2,2
H1,Industriels_Finance,6,3,3,3
H1,Collectivites,6,1,1,1
H1,Collectivites,6,2,2,2
H1,Collectivites,6,3,3,3
H1,ONG_Locales,6,1,1,1
H1,ONG_Locales,6,2,2,2
H1,ONG_Locales,6,3,3,3
H1,Autorites,6,1,1,1
H1,Autorites,6,2,2,2
H1,Autorites,6,3,3,3
H1,Scientifiques,6,1,1,1
H1,Scientifiques,6,2,2,2
H1,Scientifiques,6,3,3,3
H1,Industriels_Finance,7,1,1,1
H1,Industriels_Finance,7,2,2,2
H1,Industriels_Finance,7,3,3,3
H1,Collectivites,7,1,1,1
H1,Collectivites,7,2,2,2
H1,Collectivites,7,3,3,3
H1,ONG_Locales,7,1,1,1
H1,ONG_Locales,7,2,2,2
H1,ONG_Locales,7,3,3,3
H1,Autorites,7,1,1,1
H1,Autorites,7,2,2,2
H1,Autorites,7,3,3,3
H1,Scientifiques,7,1,1,1
H1,Scientifiques,7,2,2,2
H1,Scientifiques,7,3,3,3
H1,Industriels_Finance,8,1,1,1
H1,Industriels_Finance,8,2,2,2
H1,Industriels_Finance,8,3,3,3
H1,Collectivites,8,1,1,1
H1,Collectivites,8,2,2,2
